loc,blank_lines,comment_lines,avg_line_length,max_nesting_depth,num_keys,file_size_bytes,token_count,num_commits,num_authors,file_age_days,last_modified_days,edit_frequency,is_recently_active,stability_score,churn_total,churn_avg,loc_growth_rate,churn_volatility,num_resources,num_variables,num_dependencies,num_modules,dependency_ratio,has_hardcoded_secret,has_version_pinning,uses_latest_tag,num_anti_patterns,has_error_handling,has_idempotency_check,has_privilege_escalation,template_complexity,num_conditionals,num_loops,repo,tool,filepath,is_defect
21,4,5,25.36,3,11,659,74,3,2,4781,4155,0.01882451370006275,0,626,6.300000000000001,2.1,0.004392386530014641,1.05,3,11,0,0,0.0,0,0,0,0,0,0,0,11,0,0,ansible/ansible-examples,ansible,language_features/netscaler.yml,0
37,8,7,25.377777777777776,4,18,1187,142,6,6,4781,3589,0.0376490274001255,0,445,22.200000000000003,3.7000000000000006,0.00773896674335913,1.8500000000000003,6,7,0,0,0.0,1,0,0,0,0,0,1,7,0,1,ansible/ansible-examples,ansible,language_features/postgresql.yml,0
42,18,16,25.333333333333332,3,19,1580,229,4,4,4781,3713,0.025099351600083662,0,626,16.8,4.2,0.008784773060029283,2.1,5,3,0,0,0.0,0,0,0,0,0,0,0,3,0,0,ansible/ansible-examples,ansible,language_features/prompts.yml,0
33,9,0,30.523809523809526,3,18,1324,122,6,5,4781,2270,0.0376490274001255,0,1172,19.8,3.3000000000000003,0.006902321690023008,1.6500000000000001,9,4,1,0,0.1111111111111111,1,1,0,0,0,0,1,4,0,2,ansible/ansible-examples,ansible,language_features/rabbitmq.yml,1
33,15,14,33.75,4,12,1668,253,7,5,4781,3713,0.043923865300146414,0,626,23.1,3.3000000000000003,0.006902321690023008,1.6500000000000001,3,2,0,0,0.0,0,1,0,0,1,0,0,2,3,2,ansible/ansible-examples,ansible,language_features/register_logic.yml,1
6,4,3,25.9,1,1,269,49,1,1,4781,4781,0.0062748379000209156,0,0,0.6000000000000001,0.6000000000000001,0.0012549675800041832,0.30000000000000004,1,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,ansible/ansible-examples,ansible,language_features/roles/foo/handlers/main.yml,0
9,5,0,19.428571428571427,2,4,286,36,1,1,4781,4781,0.0062748379000209156,0,0,0.9,0.9,0.0018824513700062748,0.45,3,2,1,0,0.3333333333333333,0,0,0,0,0,0,0,2,0,0,ansible/ansible-examples,ansible,language_features/roles/foo/tasks/main.yml,0
2,1,0,9.666666666666666,0,1,32,5,1,1,4781,4781,0.0062748379000209156,0,0,0.2,0.2,0.0004183225266680611,0.1,0,1,0,0,0.0,0,0,0,0,0,0,0,1,0,0,ansible/ansible-examples,ansible,language_features/roles/foo/vars/main.yml,0
51,20,40,35.943661971830984,4,4,2623,434,2,2,4781,3713,0.012549675800041831,0,1068,10.200000000000001,5.1000000000000005,0.010667224430035557,2.5500000000000003,0,3,0,0,0.0,0,0,0,0,0,0,0,3,0,0,ansible/ansible-examples,ansible,language_features/roletest.yml,0
44,12,35,34.089285714285715,4,5,1965,316,4,4,4781,3609,0.025099351600083662,0,1068,17.6,4.4,0.009203095586697343,2.2,0,2,0,0,0.0,0,1,0,0,0,0,0,3,1,0,ansible/ansible-examples,ansible,language_features/roletest2.yml,0
18,10,8,29.892857142857142,3,3,865,115,2,2,4781,4155,0.012549675800041831,0,626,3.6,1.8,0.0037649027400125496,0.9,1,4,0,0,0.0,0,0,0,0,0,0,0,4,0,0,ansible/ansible-examples,ansible,language_features/selective_file_sources.yml,0
37,8,16,18.555555555555557,3,12,880,160,4,3,4781,3824,0.025099351600083662,0,626,14.8,3.7,0.00773896674335913,1.85,4,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,language_features/tags.yml,0
16,5,9,40.04761904761905,1,3,862,149,2,2,4781,4155,0.012549675800041831,0,626,3.2,1.6,0.003346580213344489,0.8,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,language_features/tasks/base.yml,0
19,11,1,16.2,4,7,516,73,3,3,4781,3713,0.01882451370006275,0,628,5.7,1.9000000000000001,0.00397406400334658,0.9500000000000001,0,2,0,0,0.0,0,1,0,0,0,0,0,3,3,1,ansible/ansible-examples,ansible,language_features/upgraded_vars.yml,0
28,10,14,33.89473684210526,3,5,1326,191,3,3,4781,4017,0.01882451370006275,0,626,8.4,2.8000000000000003,0.005856515373352855,1.4000000000000001,1,1,0,0,0.0,1,0,0,0,0,0,0,1,0,0,ansible/ansible-examples,ansible,language_features/user_commands.yml,0
3,0,0,9.666666666666666,0,2,32,5,1,1,4781,4781,0.0062748379000209156,0,0,0.30000000000000004,0.30000000000000004,0.0006274837900020916,0.15000000000000002,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,language_features/vars/CentOS.yml,0
3,0,0,10.0,0,2,33,5,1,1,4781,4781,0.0062748379000209156,0,0,0.30000000000000004,0.30000000000000004,0.0006274837900020916,0.15000000000000002,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,language_features/vars/defaults.yml,0
3,0,0,7.333333333333333,0,2,25,5,1,1,4781,4781,0.0062748379000209156,0,0,0.30000000000000004,0.30000000000000004,0.0006274837900020916,0.15000000000000002,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,ansible/ansible-examples,ansible,language_features/vars/external_vars.yml,0
23,11,3,23.38235294117647,2,12,829,101,4,4,4781,2930,0.025099351600083662,0,679,9.200000000000001,2.3000000000000003,0.004810709056682703,1.1500000000000001,6,6,0,0,0.0,0,0,0,0,0,0,1,6,0,0,ansible/ansible-examples,ansible,language_features/zfs.yml,0
